@RELATION SWA_classification

@ATTRIBUTE s_str STRING
@ATTRIBUTE t_str STRING
@ATTRIBUTE st_samestr {0,1}
@ATTRIBUTE s_stem STRING
@ATTRIBUTE t_stem STRING
@ATTRIBUTE st_samestem {0,1}
@ATTRIBUTE s_pos STRING
@ATTRIBUTE t_pos STRING
@ATTRIBUTE st_precede {0,1}
@ATTRIBUTE st_follow {0,1}
@ATTRIBUTE class {preserved,bigrammar-vtense,bigrammar-wform,bigrammar-inter,paraphrase,unaligned,mogrammar-prep,mogrammar-det,bigrammar-prep,bigrammar-det,bigrammar-others,typo,spelling,duplicate,moproblematic,biproblematic,unspec}

@DATA
shorter,shorter,1,short,short,1,JJR,JJR,1,1,preserved
than,than,1,than,than,1,IN,IN,1,0,preserved
MeCab,MeCab,1,MeCab,MeCab,1,NNP,NNP,0,1,preserved
and,and,1,and,and,1,CC,CC,1,1,preserved
JUMAN,JUMAN,1,JUMAN,JUMAN,1,NNP,NNP,1,1,preserved
.,.,1,.,.,1,PP,PP,1,1,preserved
?,for,0,?,for,0,?,IN,0,0,mogrammar-prep
This,This,1,This,This,1,DET,DET,1,1,preserved
result,result,1,result,result,1,NN,NN,1,1,preserved
implies,implies,1,imply,imply,1,VBZ,VBZ,1,1,preserved
that,that,1,that,that,1,IN,IN,1,1,preserved
phrase-based,phrase-based,1,phrase-based,phrase-based,1,JJ,JJ,1,1,preserved
SMT,SMT,1,SMT,SMT,1,NNP,NNP,1,1,preserved
can,can,1,can,can,1,MD,MD,1,1,preserved
output,output,1,output,output,1,NN,NN,1,1,preserved
sufficiently,sufficiently,1,sufficiently,sufficiently,1,RB,RB,1,1,preserved
reasonable,reasonable,1,reasonable,reasonable,1,JJ,JJ,1,1,preserved
word,word,1,word,word,1,NN,NN,1,1,preserved
/,/,1,/,/,1,SYM,SYM,1,1,preserved
phrase,phrase,1,phrase,phrase,1,NN,NN,1,1,preserved
alignments,alignments,1,alignment,alignment,1,NNS,NNS,1,1,preserved
that,that,1,that,that,1,IN,IN,1,1,preserved
can,can,1,can,can,1,MD,MD,1,1,preserved
treat,treat,1,treat,treat,1,NN,NN,1,1,preserved
different,different,1,different,different,1,JJ,JJ,1,1,preserved
word,word,1,word,word,1,NN,NN,1,1,preserved
definitions,definitions,1,definition,definition,1,NNS,NNS,1,0,preserved
in,in,1,in,in,1,IN,IN,0,1,preserved
most,most,1,most,most,1,JJS,JJS,1,1,preserved
cases,cases,1,case,case,1,NNS,NNS,1,1,preserved
.,.,1,.,.,1,PP,PP,1,1,preserved
On,On,1,On,On,1,IN,IN,1,1,preserved
the,the,1,the,the,1,DET,DET,1,1,preserved
other,other,1,other,other,1,JJ,JJ,1,1,preserved
hand,hand,1,hand,hand,1,NN,NN,1,1,preserved
',',',',1,',',',',1,PPR,PPR,1,1,preserved
the,the,1,the,the,1,DET,DET,1,1,preserved
unsupervised,unsupervised,1,unsupervised,unsupervised,1,NN,NN,1,1,preserved
morphological,morphological,1,morphological,morphological,1,NN,NN,1,1,preserved
analyzer,analyzer,1,analyzer,analyzer,1,NN,NN,1,1,preserved
latticelm,latticelm,1,latticelm,latticelm,1,NN,NN,1,1,preserved
and,and,1,and,and,1,CC,CC,1,1,preserved
one,one,1,one,one,1,CD,CD,1,1,preserved
of,of,1,of,of,1,IN,IN,1,1,preserved
our,our,1,our,our,1,PRPS,PRPS,1,1,preserved
heuristic,heuristic,1,heuristic,heuristic,1,NN,NN,1,1,preserved
methods,methods,1,method,method,1,NNS,NNS,1,1,preserved
CAT,CAT,1,CAT,CAT,1,NNP,NNP,1,0,preserved
'were very worse','performed poorer',0,'be very bad','perform poor',0,'VBD RB PPR','VBN PPR',1,1,paraphrase
much,much,1,much,much,1,RB,RB,0,0,preserved
than,than,1,than,than,1,IN,IN,0,1,preserved
the,the,1,the,the,1,DET,DET,1,1,preserved
supervised,supervised,1,supervise,supervise,1,JJ,JJ,1,1,preserved
morphological,morphological,1,morphological,morphological,1,NN,NN,1,1,preserved
analyzers,analyzers,1,analyzer,analyzer,1,NNS,NNS,1,1,preserved
.,.,1,.,.,1,PP,PP,1,1,preserved
The,The,1,The,The,1,DET,DET,1,1,preserved
experiments,experiments,1,experiment,experiment,1,NNS,NNS,1,1,preserved
demonstrated,demonstrated,1,demonstrate,demonstrate,1,VBN,VBN,1,1,preserved
an,an,1,an,an,1,DET,DET,1,1,preserved
unexpected,unexpected,1,unexpected,unexpected,1,JJ,JJ,1,1,preserved
result,result,1,result,result,1,NN,NN,1,1,preserved
for,for,1,for,for,1,IN,IN,1,1,preserved
CHAR,CHAR,1,CHAR,CHAR,1,NNP,NNP,1,1,preserved
.,.,1,.,.,1,PP,PP,1,1,preserved
It,It,1,It,It,1,PRP,PRP,1,0,preserved
'was good at at','excelled with with',0,'be good at at','excel with with',0,'VBD JJ IN POS','NN IN POS',1,1,paraphrase
English-Japanese,English-Japanese,1,English-Japanese,English-Japanese,1,JJ,JJ,0,0,preserved
but,but,1,but,but,1,CC,CC,0,1,preserved
not,not,1,not,not,1,RB,RB,1,0,preserved
Japanese-English,Japanese-English,1,Japanese-English,Japanese-English,1,JJ,JJ,0,1,preserved
translations,translations,1,translation,translation,1,NNS,NNS,1,1,duplicate
.,.,1,.,.,1,PP,PP,1,1,preserved
We,We,1,We,We,1,PRP,PRP,1,1,preserved
consider,consider,1,consider,consider,1,VB,VB,1,1,preserved
the,the,1,the,the,1,DET,DET,1,1,preserved
possible,possible,1,possible,possible,1,JJ,JJ,1,1,preserved
reasons,reasons,1,reason,reason,1,NNS,NNS,1,1,preserved
for,for,1,for,for,1,IN,IN,1,1,preserved
this,this,1,this,this,1,DET,DET,1,1,preserved
result,result,1,result,result,1,NN,NN,1,0,preserved
-,-,1,-,-,1,PPS,PPS,1,1,preserved
The,The,1,The,The,1,DET,DET,1,1,preserved
Head,Head,1,Head,Head,1,NNP,NNP,1,1,preserved
Finalization,Finalization,1,Finalization,Finalization,1,NNP,NNP,1,1,preserved
of,of,1,of,of,1,IN,IN,1,1,preserved
English-Japanese,English-Japanese,1,English-Japanese,English-Japanese,1,JJ,JJ,1,1,preserved
lead,lead,1,lead,lead,1,NN,NN,1,1,preserved
better,better,1,good,good,1,RB,RB,1,1,preserved
phrase,phrase,1,phrase,phrase,1,NN,NN,1,1,preserved
alignments,alignments,1,alignment,alignment,1,NNS,NNS,1,1,preserved
.,.,1,.,.,1,PP,PP,1,1,preserved
-,-,1,-,-,1,PPS,PPS,1,1,preserved
Since,Since,1,Since,Since,1,IN,IN,1,1,preserved
CHAR,CHAR,1,CHAR,CHAR,1,NNP,NNP,1,0,preserved
treat,treats,0,treat,treat,1,NN,VBZ,1,1,bigrammar-others
a,a,1,a,a,1,DET,DET,0,1,preserved
character,character,1,character,character,1,NN,NN,1,1,preserved
as,as,1,as,as,1,IN,IN,1,1,preserved
a,a,1,a,a,1,DET,DET,1,1,preserved
word,word,1,word,word,1,NN,NN,1,1,preserved
',',',',1,',',',',1,PPR,PPR,1,1,preserved
the,the,1,the,the,1,DET,DET,1,1,preserved
best,best,1,good,good,1,RB,RB,1,1,preserved
combination,combination,1,combination,combination,1,NN,NN,1,1,preserved
of,of,1,of,of,1,IN,IN,1,1,preserved
its,its,1,it,it,1,PRPS,PRPS,1,1,preserved
phrase,phrase,1,phrase,phrase,1,NN,NN,1,1,preserved
alignments,alignments,1,alignment,alignment,1,NNS,NNS,1,1,preserved
were,were,1,be,be,1,VBD,VBD,1,1,preserved
the,the,1,the,the,1,DET,DET,1,1,preserved
best,best,1,good,good,1,RB,RB,1,1,preserved
suited,suited,1,suit,suit,1,VBN,VBN,1,1,preserved
for,for,1,for,for,1,IN,IN,1,1,preserved
the,the,1,the,the,1,DET,DET,1,1,preserved
SMT,SMT,1,SMT,SMT,1,NNP,NNP,1,1,preserved
decoding,decoding,1,decode,decode,1,VBG,VBG,1,1,preserved
.,.,1,.,.,1,PP,PP,1,1,preserved
On,On,1,On,On,1,IN,IN,1,1,preserved
the,the,1,the,the,1,DET,DET,1,1,preserved
other,other,1,other,other,1,JJ,JJ,1,1,preserved
hand,hand,1,hand,hand,1,NN,NN,1,1,preserved
',',',',1,',',',',1,PPR,PPR,1,1,preserved
we,we,1,we,we,1,PRP,PRP,1,1,preserved
observed,observed,1,observe,observe,1,JJ,JJ,1,1,preserved
the,the,1,the,the,1,DET,DET,1,1,preserved
following,following,1,follow,follow,1,VBG,VBG,1,1,preserved
issues,issues,1,issue,issue,1,NNS,NNS,1,1,preserved
from,from,1,from,from,1,IN,IN,1,1,preserved
our,our,1,our,our,1,PRPS,PRPS,1,1,preserved
error,error,1,error,error,1,NN,NN,1,1,preserved
analysis,analysis,1,analysis,analysis,1,NN,NN,1,1,preserved
:,:,1,:,:,1,PPS,PPS,1,1,preserved
-,-,1,-,-,1,PPS,PPS,1,1,preserved
Uncommon,Uncommon,1,Uncommon,Uncommon,1,JJ,JJ,1,1,preserved
named,named,1,name,name,1,VBN,VBN,1,1,preserved
entities,entities,1,entity,entity,1,NNS,NNS,1,1,preserved
were,were,1,be,be,1,VBD,VBD,1,1,preserved
almost,almost,1,almost,almost,1,RB,RB,1,1,preserved
wrongly,wrongly,1,wrongly,wrongly,1,RB,RB,1,1,preserved
translated,translated,1,translate,translate,1,VBN,VBN,1,1,preserved
.,.,1,.,.,1,PP,PP,1,1,preserved
(,(,1,(,(,1,LRB,LRB,1,1,preserved
For,For,1,For,For,1,IN,IN,1,1,preserved
example,example,1,example,example,1,NN,NN,1,1,preserved
',',',',1,',',',',1,PPR,PPR,1,1,preserved
チェコ,チェコ,1,チェコ,チェコ,1,SYM,SYM,1,1,preserved
Czech,Czech,1,Czech,Czech,1,NNP,NNP,1,1,preserved
was,was,1,be,be,1,VBD,VBD,1,1,preserved
produced,produced,1,produce,produce,1,VBN,VBN,1,1,preserved
instead,instead,1,instead,instead,1,RB,RB,1,1,preserved
of,of,1,of,of,1,IN,IN,1,1,preserved
チェコスロバキア,チェコスロバキア,1,チェコスロバキア,チェコスロバキア,1,SYM,SYM,1,1,preserved
Czechoslovakia,Czechoslovakia,1,Czechoslovakia,Czechoslovakia,1,NNP,NNP,1,1,preserved
.,.,1,.,.,1,PP,PP,1,1,preserved
),),1,),),1,RRB,RRB,1,1,preserved
-,-,1,-,-,1,PPS,PPS,1,1,preserved
Long,Long,1,Long,Long,1,NNP,NNP,1,1,preserved
sentences,sentences,1,sentence,sentence,1,NNS,NNS,1,1,preserved
were,were,1,be,be,1,VBD,VBD,1,0,preserved
translated,translated,1,translate,translate,1,VBN,VBN,0,0,preserved
'worse than','not as well as',0,'bad than','not as well as',0,'JJR POS','RB IN RB POS',0,0,paraphrase
the,?,0,the,?,0,DET,?,0,0,mogrammar-det
other,other,1,other,other,1,JJ,JJ,0,1,preserved
word,word,1,word,word,1,NN,NN,1,1,preserved
segmentation,segmentation,1,segmentation,segmentation,1,NN,NN,1,1,preserved
outputs,outputs,1,output,output,1,NNS,NNS,1,1,preserved
.,.,1,.,.,1,PP,PP,1,1,preserved
The,The,1,The,The,1,DET,DET,1,1,preserved
reasons,reasons,1,reason,reason,1,NNS,NNS,1,0,preserved
of,for,0,of,for,0,IN,IN,1,1,bigrammar-prep
the,the,1,the,the,1,DET,DET,0,1,preserved
CHAR,CHAR,1,CHAR,CHAR,1,NNP,NNP,1,1,preserved
results,results,1,result,result,1,NNS,NNS,1,1,preserved
are,are,1,be,be,1,VBP,VBP,1,1,preserved
yet,yet,1,yet,yet,1,RB,RB,1,1,preserved
to,to,1,to,to,1,TO,TO,1,1,preserved
be,be,1,be,be,1,VB,VB,1,1,preserved
analyzed,analyzed,1,analyze,analyze,1,VBN,VBN,1,1,preserved
in,in,1,in,in,1,IN,IN,1,0,preserved
details,detail,0,detail,detail,1,NNS,NN,1,1,bigrammar-others
.,.,1,.,.,1,PP,PP,0,1,preserved
However,However,1,However,However,1,RB,RB,1,1,preserved
',',',',1,',',',',1,PPR,PPR,1,1,preserved
this,this,1,this,this,1,DET,DET,1,1,preserved
result,result,1,result,result,1,NN,NN,1,1,preserved
indicates,indicates,1,indicate,indicate,1,VBZ,VBZ,1,1,preserved
that,that,1,that,that,1,IN,IN,1,1,preserved
there,there,1,there,there,1,RB,RB,1,1,preserved
is,is,1,be,be,1,VBZ,VBZ,1,1,preserved
a,a,1,a,a,1,DET,DET,1,1,preserved
possibility,possibility,1,possibility,possibility,1,NN,NN,1,1,preserved
of,of,1,of,of,1,IN,IN,1,1,preserved
better,better,1,good,good,1,RB,RB,1,1,preserved
word,word,1,word,word,1,NN,NN,1,1,preserved
segmentation,segmentation,1,segmentation,segmentation,1,NN,NN,1,1,preserved
than,than,1,than,than,1,IN,IN,1,1,preserved
popular,popular,1,popular,popular,1,JJ,JJ,1,1,preserved
supervised,supervised,1,supervise,supervise,1,JJ,JJ,1,1,preserved
morphological,morphological,1,morphological,morphological,1,NN,NN,1,1,preserved
analyzers,analyzers,1,analyzer,analyzer,1,NNS,NNS,1,1,preserved
and,and,1,and,and,1,CC,CC,1,1,preserved
CHAR,CHAR,1,CHAR,CHAR,1,NNP,NNP,1,1,preserved
word,word,1,word,word,1,NN,NN,1,1,preserved
segmentation,segmentation,1,segmentation,segmentation,1,NN,NN,1,1,preserved
.,.,1,.,.,1,PP,PP,1,1,preserved
We,We,1,We,We,1,PRP,PRP,1,1,preserved
are,are,1,be,be,1,VBP,VBP,1,1,preserved
planning,planning,1,plan,plan,1,NN,NN,1,1,preserved
to,to,1,to,to,1,TO,TO,1,1,preserved
conduct,conduct,1,conduct,conduct,1,NN,NN,1,1,preserved
further,further,1,far,far,1,JJ,JJ,1,0,preserved
investigation,investigations,0,investigation,investigation,1,NN,NNS,1,1,bigrammar-wform
in,in,1,in,in,1,IN,IN,0,0,preserved
future,future,1,future,future,1,JJ,JJ,0,1,preserved
.,.,1,.,.,1,PP,PP,1,1,preserved
?,the,0,?,the,0,?,DET,0,0,mogrammar-det
The,The,1,The,The,1,DET,DET,1,1,preserved
current,current,1,current,current,1,JJ,JJ,1,1,preserved
evaluation,evaluation,1,evaluation,evaluation,1,NN,NN,1,1,preserved
metrics,metrics,1,metrics,metrics,1,NNS,NNS,1,0,preserved
we,we,1,we,we,1,PRP,PRP,0,1,preserved
pursued,pursued,1,pursue,pursue,1,JJ,JJ,1,1,preserved
in,in,1,in,in,1,IN,IN,1,1,preserved
this,this,1,this,this,1,DET,DET,1,1,preserved
paper,paper,1,paper,paper,1,NN,NN,1,1,preserved
were,were,1,be,be,1,VBD,VBD,1,0,preserved
'not sufficient',insufficient,0,'not sufficient',insufficient,0,'RB PPR',JJ,1,1,paraphrase
to,to,1,to,to,1,TO,TO,0,1,preserved
discuss,discuss,1,discus,discus,1,VB,VB,1,0,preserved
the,the,1,the,the,1,DET,DET,0,1,preserved
relative,relative,1,relative,relative,1,JJ,JJ,1,1,preserved
advantages,advantages,1,advantage,advantage,1,NNS,NNS,1,1,preserved
and,and,1,and,and,1,CC,CC,1,1,preserved
disadvantages,disadvantages,1,disadvantage,disadvantage,1,NNS,NNS,1,1,preserved
of,of,1,of,of,1,IN,IN,1,1,preserved
word,word,1,word,word,1,NN,NN,1,1,preserved
segmentation,segmentation,1,segmentation,segmentation,1,NN,NN,1,0,preserved
',',',',1,',',',',1,PPR,PPR,0,1,preserved
since,since,1,since,since,1,IN,IN,1,0,preserved
'they did not produce consistent scores','inconsistent were produced were that scores the',0,'they do not produce consistent score','inconsistent be produce be that score the',0,'PRP VBD RB VB JJ POS','JJ VBD VBN VBD IN NNS POS',1,0,paraphrase
as,as,1,as,as,1,IN,IN,0,1,preserved
explained,explained,1,explain,explain,1,VBN,VBN,1,1,preserved
below,below,1,below,below,1,IN,IN,1,1,preserved
:,:,1,:,:,1,PPS,PPS,1,1,preserved
-,-,1,-,-,1,PPS,PPS,1,1,preserved
There,There,1,There,There,1,EX,EX,1,1,preserved
were,were,1,be,be,1,VBD,VBD,1,1,preserved
many,many,1,many,many,1,JJ,JJ,1,1,preserved
contradictory,contradictory,1,contradictory,contradictory,1,JJ,JJ,1,1,preserved
figures,figures,1,figure,figure,1,NNS,NNS,1,1,preserved
among,among,1,among,among,1,IN,IN,1,1,preserved
evaluation,evaluation,1,evaluation,evaluation,1,NN,NN,1,1,preserved
metrics,metrics,1,metrics,metrics,1,NNS,NNS,1,1,preserved
.,.,1,.,.,1,PP,PP,1,1,preserved
There,There,1,There,There,1,EX,EX,1,1,preserved
was,was,1,be,be,1,VBD,VBD,1,1,preserved
a,a,1,a,a,1,DET,DET,1,1,preserved
case,case,1,case,case,1,NN,NN,1,1,preserved
that,that,1,that,that,1,IN,IN,1,1,preserved
BLEU,BLEU,1,BLEU,BLEU,1,NNP,NNP,1,1,preserved
was,was,1,be,be,1,VBD,VBD,1,1,preserved
high,high,1,high,high,1,JJ,JJ,1,1,preserved
',',',',1,',',',',1,PPR,PPR,1,1,preserved
while,while,1,while,while,1,IN,IN,1,1,preserved
other,other,1,other,other,1,JJ,JJ,1,1,preserved
metrics,metrics,1,metrics,metrics,1,NNS,NNS,1,1,preserved
were,were,1,be,be,1,VBD,VBD,1,1,preserved
low,low,1,low,low,1,JJ,JJ,1,1,preserved
.,.,1,.,.,1,PP,PP,1,1,preserved
Moreover,Moreover,1,Moreover,Moreover,1,RB,RB,1,1,preserved
',',',',1,',',',',1,PPR,PPR,1,1,preserved
there,there,1,there,there,1,RB,RB,1,1,preserved
is,is,1,be,be,1,VBZ,VBZ,1,1,preserved
also,also,1,also,also,1,RB,RB,1,1,preserved
a,a,1,a,a,1,DET,DET,1,1,preserved
case,case,1,case,case,1,NN,NN,1,0,preserved
that,'in which',0,that,'in which',0,IN,'IN POS',1,1,paraphrase
RIBES,RIBES,1,RIBES,RIBES,1,NNP,NNP,0,1,preserved
and,and,1,and,and,1,CC,CC,1,1,preserved
BLEU,BLEU,1,BLEU,BLEU,1,NNP,NNP,1,1,preserved
in,in,1,in,in,1,IN,IN,1,1,preserved
Characters,Characters,1,Characters,Characters,1,NNS,NNS,1,1,preserved
were,were,1,be,be,1,VBD,VBD,1,1,preserved
incompatible,incompatible,1,incompatible,incompatible,1,JJ,JJ,1,1,preserved
with,with,1,with,with,1,IN,IN,1,1,preserved
each,each,1,each,each,1,DET,DET,1,1,preserved
other,other,1,other,other,1,JJ,JJ,1,1,preserved
.,.,1,.,.,1,PP,PP,1,1,preserved
For,For,1,For,For,1,IN,IN,1,1,preserved
example,example,1,example,example,1,NN,NN,1,1,preserved
',',',',1,',',',',1,PPR,PPR,1,1,preserved
on,on,1,on,on,1,IN,IN,1,1,preserved
WIKIPEDIA,WIKIPEDIA,1,WIKIPEDIA,WIKIPEDIA,1,NNP,NNP,1,1,preserved
in,in,1,in,in,1,IN,IN,1,1,preserved
Table,Table,1,Table,Table,1,NNP,NNP,1,1,preserved
2,2,1,2,2,1,CD,CD,1,1,preserved
',',',',1,',',',',1,PPR,PPR,1,1,preserved
while,while,1,while,while,1,IN,IN,1,1,preserved
CHAR,CHAR,1,CHAR,CHAR,1,NNP,NNP,1,1,preserved
was,was,1,be,be,1,VBD,VBD,1,0,preserved
the,the,1,the,the,1,DET,DET,0,1,preserved
highest,highest,1,high,high,1,JJS,JJS,1,0,preserved
and,and,1,and,and,1,CC,CC,0,0,preserved
better,better,1,good,good,1,RB,RB,0,1,preserved
than,than,1,than,than,1,IN,IN,1,1,preserved
the,the,1,the,the,1,DET,DET,1,1,preserved
supervised,supervised,1,supervise,supervise,1,JJ,JJ,1,1,preserved
morphological,morphological,1,morphological,morphological,1,NN,NN,1,1,preserved
analyzers,analyzers,1,analyzer,analyzer,1,NNS,NNS,1,1,preserved
in,in,1,in,in,1,IN,IN,1,1,preserved
RIBES,RIBES,1,RIBES,RIBES,1,NNP,NNP,1,1,preserved
',',',',1,',',',',1,PPR,PPR,1,1,preserved
MeCab,MeCab,1,MeCab,MeCab,1,NNP,NNP,1,1,preserved
achieved,achieved,1,achieve,achieve,1,VBN,VBN,1,1,preserved
the,the,1,the,the,1,DET,DET,1,1,preserved
best,best,1,good,good,1,RB,RB,1,1,preserved
score,score,1,score,score,1,NN,NN,1,1,preserved
and,and,1,and,and,1,CC,CC,1,1,preserved
notably,notably,1,notably,notably,1,RB,RB,1,1,preserved
better,better,1,good,good,1,RB,RB,1,1,preserved
than,than,1,than,than,1,IN,IN,1,1,preserved
CHAR,CHAR,1,CHAR,CHAR,1,NNP,NNP,1,1,preserved
in,in,1,in,in,1,IN,IN,1,1,preserved
BLEU,BLEU,1,BLEU,BLEU,1,NNP,NNP,1,1,preserved
in,in,1,in,in,1,IN,IN,1,1,preserved
Characters,Characters,1,Characters,Characters,1,NNS,NNS,1,1,preserved
.,.,1,.,.,1,PP,PP,1,1,preserved
-,-,1,-,-,1,PPS,PPS,1,1,preserved
If,If,1,If,If,1,IN,IN,1,1,preserved
we,we,1,we,we,1,PRP,PRP,1,1,preserved
compare,compare,1,compare,compare,1,VB,VB,1,1,preserved
every,every,1,every,every,1,DET,DET,1,1,preserved
column,column,1,column,column,1,NN,NN,1,1,preserved
in,in,1,in,in,1,IN,IN,1,1,preserved
a,a,1,a,a,1,DET,DET,1,1,preserved
row,row,1,row,row,1,NN,NN,1,1,preserved
',',',',1,',',',',1,PPR,PPR,1,1,preserved
there,there,1,there,there,1,RB,RB,1,1,preserved
were,were,1,be,be,1,VBD,VBD,1,1,preserved
tendencies,tendencies,1,tendency,tendency,1,NNS,NNS,1,1,preserved
that,that,1,that,that,1,IN,IN,1,1,preserved
the,the,1,the,the,1,DET,DET,1,1,preserved
best,best,1,good,good,1,RB,RB,1,1,preserved
and,and,1,and,and,1,CC,CC,1,1,preserved
the,the,1,the,the,1,DET,DET,1,1,preserved
worst,worst,1,bad,bad,1,JJS,JJS,1,1,preserved
corpora,corpora,1,corpus,corpus,1,NN,NN,1,1,preserved
were,were,1,be,be,1,VBD,VBD,1,1,preserved
the,the,1,the,the,1,DET,DET,1,1,preserved
same,same,1,same,same,1,JJ,JJ,1,1,preserved
for,for,1,for,for,1,IN,IN,1,1,preserved
every,every,1,every,every,1,DET,DET,1,1,preserved
evaluation,evaluation,1,evaluation,evaluation,1,NN,NN,1,1,preserved
metrics,metrics,1,metrics,metrics,1,NNS,NNS,1,1,preserved
.,.,1,.,.,1,PP,PP,1,1,preserved
In,In,1,In,In,1,IN,IN,1,1,preserved
Table,Table,1,Table,Table,1,NNP,NNP,1,1,preserved
2,2,1,2,2,1,CD,CD,1,1,preserved
',',',',1,',',',',1,PPR,PPR,1,1,preserved
REUTERS,REUTERS,1,REUTERS,REUTERS,1,NNP,NNP,1,1,preserved
was,was,1,be,be,1,VBD,VBD,1,1,preserved
the,the,1,the,the,1,DET,DET,1,1,preserved
best,best,1,good,good,1,RB,RB,1,1,preserved
and,and,1,and,and,1,CC,CC,1,1,preserved
WIKIPEDIA,WIKIPEDIA,1,WIKIPEDIA,WIKIPEDIA,1,NNP,NNP,1,1,preserved
was,was,1,be,be,1,VBD,VBD,1,1,preserved
the,the,1,the,the,1,DET,DET,1,1,preserved
worst,worst,1,bad,bad,1,JJS,JJS,1,1,preserved
in,in,1,in,in,1,IN,IN,1,1,preserved
terms,terms,1,term,term,1,NNS,NNS,1,1,preserved
of,of,1,of,of,1,IN,IN,1,1,preserved
BLEU,BLEU,1,BLEU,BLEU,1,NNP,NNP,1,1,preserved
',',',',1,',',',',1,PPR,PPR,1,1,preserved
but,but,1,but,but,1,CC,CC,1,1,preserved
also,also,1,also,also,1,RB,RB,1,1,preserved
JENAAD+REUTERS,JENAAD+REUTERS,1,JENAAD+REUTERS,JENAAD+REUTERS,1,NNP,NNP,1,1,preserved
was,was,1,be,be,1,VBD,VBD,1,1,preserved
the,the,1,the,the,1,DET,DET,1,1,preserved
best,best,1,good,good,1,RB,RB,1,1,preserved
and,and,1,and,and,1,CC,CC,1,1,preserved
WIKIPEDIA,WIKIPEDIA,1,WIKIPEDIA,WIKIPEDIA,1,NNP,NNP,1,1,preserved
was,was,1,be,be,1,VBD,VBD,1,1,preserved
the,the,1,the,the,1,DET,DET,1,1,preserved
worst,worst,1,bad,bad,1,JJS,JJS,1,1,preserved
in,in,1,in,in,1,IN,IN,1,1,preserved
terms,terms,1,term,term,1,NNS,NNS,1,1,preserved
of,of,1,of,of,1,IN,IN,1,1,preserved
RIBES,RIBES,1,RIBES,RIBES,1,NNP,NNP,1,1,preserved
.,.,1,.,.,1,PP,PP,1,1,preserved
-,-,1,-,-,1,PPS,PPS,1,1,preserved
Even,Even,1,Even,Even,1,RB,RB,1,1,preserved
when,when,1,when,when,1,WRB,WRB,1,1,preserved
we,we,1,we,we,1,PRP,PRP,1,1,preserved
compare,compare,1,compare,compare,1,VB,VB,1,1,preserved
every,every,1,every,every,1,DET,DET,1,1,preserved
row,row,1,row,row,1,NN,NN,1,1,preserved
in,in,1,in,in,1,IN,IN,1,1,preserved
a,a,1,a,a,1,DET,DET,1,1,preserved
column,column,1,column,column,1,NN,NN,1,1,preserved
',',',',1,',',',',1,PPR,PPR,1,1,preserved
there,there,1,there,there,1,RB,RB,1,1,preserved
were,were,1,be,be,1,VBD,VBD,1,1,preserved
no,no,1,no,no,1,DET,DET,1,1,preserved
tendencies,tendencies,1,tendency,tendency,1,NNS,NNS,1,1,preserved
.,.,1,.,.,1,PP,PP,1,1,preserved
For,For,1,For,For,1,IN,IN,1,1,preserved
instance,instance,1,instance,instance,1,NN,NN,1,1,preserved
',',',',1,',',',',1,PPR,PPR,1,1,preserved
in,in,1,in,in,1,IN,IN,1,1,preserved
terms,terms,1,term,term,1,NNS,NNS,1,1,preserved
of,of,1,of,of,1,IN,IN,1,1,preserved
BLEU,BLEU,1,BLEU,BLEU,1,NNP,NNP,1,1,preserved
in,in,1,in,in,1,IN,IN,1,1,preserved
Characters,Characters,1,Characters,Characters,1,NNS,NNS,1,1,preserved
',',',',1,',',',',1,PPR,PPR,1,1,preserved
CHAR,CHAR,1,CHAR,CHAR,1,NNP,NNP,1,1,preserved
',',',',1,',',',',1,PPR,PPR,1,1,preserved
JUMAN,JUMAN,1,JUMAN,JUMAN,1,NNP,NNP,1,1,preserved
',',',',1,',',',',1,PPR,PPR,1,1,preserved
and,and,1,and,and,1,CC,CC,1,1,preserved
MeCab,MeCab,1,MeCab,MeCab,1,NNP,NNP,1,1,preserved
achieved,achieved,1,achieve,achieve,1,VBN,VBN,1,1,preserved
the,the,1,the,the,1,DET,DET,1,1,preserved
best,best,1,good,good,1,RB,RB,1,1,preserved
scores,scores,1,score,score,1,NNS,NNS,1,1,preserved
in,in,1,in,in,1,IN,IN,1,1,preserved
Table,Table,1,Table,Table,1,NNP,NNP,1,1,preserved
3,3,1,3,3,1,CD,CD,1,1,preserved
.,.,1,.,.,1,PP,PP,1,1,preserved
This,This,1,This,This,1,DET,DET,1,1,preserved
work,work,1,work,work,1,NN,NN,1,1,preserved
focused,focused,1,focus,focus,1,VBN,VBN,1,1,preserved
on,on,1,on,on,1,IN,IN,1,1,preserved
how,how,1,how,how,1,WRB,WRB,1,1,preserved
the,the,1,the,the,1,DET,DET,1,0,preserved
difference,differences,0,difference,difference,1,NN,NNS,1,0,bigrammar-others
of,in,0,of,in,0,IN,IN,0,1,bigrammar-prep
word,word,1,word,word,1,NN,NN,0,1,preserved
segmentation,segmentation,1,segmentation,segmentation,1,NN,NN,1,0,preserved
affects,affected,0,affect,affect,1,VBZ,JJ,1,1,bigrammar-vtense
SMT,SMT,1,SMT,SMT,1,NNP,NNP,0,1,preserved
outputs,outputs,1,output,output,1,NNS,NNS,1,1,preserved
',',',',1,',',',',1,PPR,PPR,1,1,preserved
the,the,1,the,the,1,DET,DET,1,1,preserved
quality,quality,1,quality,quality,1,NN,NN,1,1,preserved
